 2: データ定義（DBスキーマ概要）			
			
※開発の前提となるデータ構造定義です。			
			
論理名	物理名	型	制約/備考
ユーザーID	user_id	VARCHAR(50)	PK, 半角英数字
パスワードハッシュ	password_hash	VARCHAR(255)	暗号化済文字列
企業ID	company_id	INT	"PK, 自動採番 (Auto Increment)
※インポート時：空欄=新規、値あり=更新対象"
企業名	company_name	VARCHAR(100)	NOT NULL
住所	address	VARCHAR(200)	NOT NULL
郵便番号	zip_code	VARCHAR(8)	NOT NULL, ハイフンあり
登録日	registration_date	DATE	NOT NULL, デフォルト本日
備考	remarks	TEXT	"任意
※Excelインポート時は最大1000文字まで許容"
削除フラグ	is_deleted	TINYINT	0:有効, 1:削除済み（ゴミ箱）
削除日時	deleted_at	DATETIME	NULL許容
削除実行者	deleted_by	VARCHAR(50)	"NULL許容
※ユーザーテーブル削除後も履歴を残すため、FK制約はあえて設定しない（論理連携のみ）"
